 1 12  20.000  20.000  20.000  20.000   3.527   1.584   0.644   0.157  -0.023  -0.083  -0.004  -0.089  -0.064  -0.125  -0.092  -0.001   0.011   0.072   0.054
 1 13  20.000  20.000  20.000  20.000  20.000   1.994   0.137   0.023  -0.190   0.020   0.113   0.188   0.117   0.028  -0.062  -0.016  -0.078  -0.070  -0.079
 1 14  20.000  20.000  20.000  20.000  20.000  20.000   4.270   2.863   1.646   1.056   0.407   0.129  -0.063  -0.137  -0.058  -0.114  -0.291  -0.154  -0.230
 1 15  20.000  20.000  20.000  20.000  20.000   4.027   1.618   0.491   0.276   0.127   0.100   0.041  -0.081  -0.079  -0.100  -0.038  -0.106  -0.043  -0.055
 1 16  20.000  20.000  20.000  20.000  20.000   5.849   3.541   1.651   1.206   0.928   0.855   0.485   0.279   0.000  -0.162  -0.201  -0.270  -0.289  -0.350
 1 17  20.000  20.000  20.000  20.000   1.147  -0.056  -0.683  -0.763  -0.450  -0.065   0.299   0.285   0.277   0.215   0.158   0.079  -0.018  -0.067  -0.152
 1 18  20.000  20.000  20.000   3.584   2.850   1.903   1.003   0.256   0.067   0.005   0.053   0.033   0.028  -0.084  -0.069  -0.047  -0.078  -0.028  -0.020
 1 19  20.000  20.000  20.000   2.355   2.131   2.242   1.848   0.832   0.525   0.101   0.023  -0.078  -0.089  -0.155  -0.134  -0.029  -0.045   0.032  -0.065
 2  0  20.000  20.000   3.071   1.996   0.225  -1.666  -1.380  -0.537  -0.982  -0.817   0.184   0.670   1.236   0.899   0.261  -0.131   0.072   0.172   0.077
 2  1  20.000  20.000  20.000  20.000  20.000   6.572   4.925   3.467   2.240   0.834  -0.560  -0.542  -0.198  -0.138  -0.206  -0.334  -0.022   0.391   0.445
 2  2  20.000  20.000  20.000   5.354   6.229   5.292   5.262   4.524   3.263   2.184   0.191  -0.808  -0.737  -0.065   0.281   0.293   0.125  -0.128   0.024
 2  3  20.000  20.000  20.000   4.314   2.671   1.705   0.225  -0.850  -0.889  -0.690  -0.064   0.265   0.266   0.329   0.489   0.035  -0.082  -0.082   0.258
 2  4  20.000  20.000  20.000   3.263   2.885   1.156   0.405  -0.224  -0.177  -0.049   0.165   0.067   0.124   0.078   0.028  -0.020  -0.084  -0.040  -0.109
 2  5  20.000  20.000  20.000   5.207   5.166   3.613   2.181   1.099   0.539   0.145   0.027   0.031   0.131   0.052  -0.026  -0.059  -0.119  -0.146  -0.236
 2  6  20.000  20.000  20.000   5.595   5.777   4.789   3.222   1.882   0.947   0.019  -0.278  -0.239  -0.055  -0.245  -0.155   0.048   0.007   0.056   0.022
 2  7  20.000  20.000  20.000  20.000   4.846   2.966   1.543   1.095   0.579  -0.030  -0.207  -0.142  -0.008  -0.172  -0.096   0.012  -0.035   0.014  -0.001
 2  8  20.000  20.000  20.000  20.000  20.000   6.582   5.139   3.493   2.121   0.731   0.142   0.026  -0.096  -0.294  -0.307  -0.112  -0.066  -0.060  -0.058
 2  9  20.000  20.000  20.000   4.936   5.406   3.515   1.793   0.747   0.281   0.049   0.066   0.132   0.135   0.063   0.007  -0.021  -0.089  -0.151  -0.276
 2 10  20.000  20.000  20.000  20.000  20.000   6.685   3.583   1.989   1.219   0.475   0.029  -0.268  -0.194  -0.075  -0.028  -0.043  -0.099  -0.094  -0.076
 2 11  20.000  20.000  20.000   3.970   2.206   1.042   0.173  -0.557  -0.519  -0.160   0.088   0.017   0.050  -0.017   0.035  -0.022   0.015   0.121   0.079
 2 12  20.000  20.000  20.000  20.000   3.242   1.900   0.657  -0.141  -0.486  -0.201   0.172   0.193   0.161   0.091   0.049   0.009  -0.068  -0.054  -0.114
 2 13  20.000  20.000  20.000  20.000  20.000   2.212   0.921   0.783   0.367   0.165  -0.061  -0.051  -0.031  -0.096  -0.122  -0.084  -0.069   0.001  -0.005
