 0 19   2.148   2.148   2.148   2.148   2.148   2.148   0.814   0.710   1.341   0.630   0.614   0.336   0.047  -0.110  -0.015  -0.114   0.023  -0.043   0.017  -0.011   0.063   0.096  -0.065  -0.020   0.019   0.023  -0.084   0.041  -0.079  -0.030  -0.077     nan
 1  1   4.080   4.080   4.080   4.080   4.080   4.080   4.080   2.641   2.280   1.693   1.441   0.723   0.443   0.308   0.110  -0.101  -0.317  -0.334  -0.228  -0.174  -0.143  -0.218  -0.185  -0.055   0.065   0.134   0.138   0.126   0.095   0.106   0.054     nan
 1  2   4.112   4.112   4.112   4.112   4.112   4.112   4.112   4.112   2.112   1.780   1.078   0.595   0.003  -0.293  -0.143  -0.103  -0.084   0.045  -0.074  -0.165   0.023   0.155   0.139   0.093   0.008  -0.027  -0.081  -0.137  -0.071   0.016   0.059     nan
 1  3   4.112   4.112   4.112   4.112   1.427   0.783  -0.449  -0.760  -0.749  -0.806  -0.638  -0.258   0.197   0.518   0.626   0.652   0.623   0.535   0.425   0.358   0.198   0.090  -0.063  -0.114  -0.131  -0.134  -0.047   0.024   0.002  -0.009  -0.081     nan
 1  4   3.090   3.090   3.090   3.090   3.090   1.669   0.365  -0.343  -0.390  -0.371  -0.163  -0.039   0.067   0.106   0.156   0.269   0.112   0.088  -0.001  -0.004  -0.022   0.014   0.003  -0.020  -0.005  -0.010  -0.022  -0.002   0.002  -0.019  -0.036     nan
 1  5   3.839   3.839   3.839   3.839   3.839   3.839   2.505   1.565   0.863   0.445   0.320   0.127   0.052   0.098   0.040   0.036  -0.023  -0.105  -0.110  -0.057  -0.069  -0.027  -0.043  -0.041   0.015   0.008   0.001   0.008  -0.023  -0.021   0.011     nan
 1  6   3.969   3.969   3.969   3.969   3.969   3.969   3.969   2.311   1.425   1.066   0.622   0.181  -0.041  -0.072   0.006   0.043  -0.002  -0.053  -0.092  -0.107  -0.101  -0.061  -0.105  -0.107  -0.047  -0.037  -0.006   0.037   0.049   0.063   0.062     nan
 1  7   3.552   3.552   3.552   3.552   3.552   3.552   3.552   1.894   1.251   0.794   0.445   0.248   0.070  -0.070  -0.052  -0.049  -0.099  -0.159  -0.125  -0.108  -0.108  -0.003  -0.020  -0.015  -0.005  -0.006   0.016   0.027   0.031   0.033   0.044     nan
 1  8   3.309   3.309   3.309   3.309   3.309   3.309   3.309   3.309   2.501   2.421   1.067   0.791   0.492   0.165   0.150   0.088  -0.096  -0.113  -0.121  -0.140  -0.131  -0.141  -0.141  -0.179  -0.145  -0.087  -0.031   0.030   0.048   0.105   0.182     nan
 1  9   3.690   3.690   3.690   3.690   3.690   3.690   2.356   2.608   0.567   0.278   0.124   0.096   0.015   0.040   0.043   0.094   0.007   0.005   0.002  -0.029   0.022   0.011   0.007   0.007  -0.025  -0.030  -0.023  -0.034  -0.053  -0.052  -0.042     nan
 1 10   3.385   3.385   3.385   3.385   3.385   3.385   3.385   1.727   0.864   0.434   0.299   0.110  -0.042  -0.103  -0.062  -0.013  -0.054  -0.067  -0.045  -0.089  -0.030  -0.017  -0.018  -0.026   0.033   0.010  -0.004   0.024  -0.010   0.010   0.005     nan
 1 11   3.049   3.049   3.049   3.049   3.049   1.629   0.325  -0.320  -0.417  -0.304  -0.206  -0.100  -0.097  -0.026   0.054   0.037   0.050  -0.010   0.106   0.091   0.077   0.070   0.084  -0.001  -0.036  -0.031  -0.008  -0.035  -0.011   0.018   0.009     nan
 1 12   2.966   2.966   2.966   2.966   2.966   1.546   0.744   0.834   0.204   0.049  -0.050  -0.120  -0.153  -0.100  -0.021  -0.004  -0.038  -0.065  -0.082  -0.038  -0.012   0.030   0.083   0.086   0.026   0.025   0.036   0.010  -0.031  -0.046   0.037     nan
